,literacy_home,risk_factors,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y,aspired_occ_b_-1,aspired_occ_b_1,aspired_occ_b_2,aspired_occ_b_3,aspired_occ_b_4,aspired_occ_b_5,aspired_occ_b_6,aspired_occ_b_7,aspired_occ_b_8,aspired_occ_b_9,aspired_occ_b_10,aspired_occ_b_11,aspired_occ_b_12,aspired_occ_b_13,aspired_occ_b_14,aspired_occ_b_15,aspired_occ_b_16,aspired_occ_b_17,aspired_occ_1_-1,aspired_occ_1_1,aspired_occ_1_2,aspired_occ_1_3,aspired_occ_1_4,aspired_occ_1_5,aspired_occ_1_6,aspired_occ_1_7,aspired_occ_1_8,aspired_occ_1_9,aspired_occ_1_10,aspired_occ_1_11,aspired_occ_1_12,aspired_occ_1_13,aspired_occ_1_14,aspired_occ_1_15,aspired_occ_1_16,aspired_occ_1_17
131,2,0,42.88,43.76,-0.28669999999999995,-0.11750000000000002,-0.635,0,2,25,4,2,7,40.07,5,1,6,3,0.537,25,4,2.0,625.0,126.71000000000001,167.503,200.35,2500,11423.107,0.0,696905.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,3,0,57.37,64.96,-0.867,0.174,-0.898,0,2,17,2,0,6,59.36,5,1,1,3,0.773,24,4,1.0,408.0,181.69,259.84,296.8,1632,22822.239999999998,0.0,7267600.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,0,1,49.88,51.4,1.7719999999999998,-1.4480000000000002,0.24100000000000002,0,4,3,0,0,6,51.86,6,2,3,0,1.811,31,6,2.0,93.0,153.14,51.4,311.15999999999997,558,12327.039999999997,0.0,765699.9999999999,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
134,2,1,61.42,51.4,-0.15880000000000008,0.21389999999999992,0.4560999999999999,0,0,5,8,0,4,61.03,5,1,6,4,1.008,17,2,2.0,85.0,173.85,154.2,305.15,170,10105.699999999999,12.0,2086200.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,3,0,61.39,63.6,-0.63,-0.9329999999999999,0.45099999999999996,1,3,5,1,0,7,51.18,6,4,1,2,0.25,26,6,2.0,130.0,176.17000000000002,254.4,307.08,780,17405.88,0.0,8456160.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
136,2,1,41.65,53.87,-0.22500000000000003,0.27949999999999997,-0.898,2,0,3,8,2,7,45.91,5,2,4,4,-0.3613,27,4,2.0,81.0,141.43,180.049,229.54999999999998,324,15770.744999999999,12.0,3535750.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
137,2,2,40.72,45.12,-0.841,-0.9329999999999999,-0.898,0,1,12,4,0,6,41.74,5,2,2,4,-0.757,23,3,2.0,276.0,127.58000000000001,135.35999999999999,208.70000000000002,828,12042.1,16.0,3444660.0000000005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,2,0,61.13,57.07,0.09199999999999998,0.331,0.812,0,3,20,0,0,8,62.17,6,1,2,2,1.564,26,5,1.0,520.0,180.37,171.21,373.02,2600,25034.58,0.0,7575540.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
139,2,1,43.39,51.4,0.24559999999999998,0.02400000000000001,1.001,2,1,11,2,0,7,41.75,5,2,5,2,0.03,27,4,1.0,297.0,136.54,154.2,208.75,1188,13792.1,4.0,8192399.999999999,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
140,2,1,58.23,61.01,-1.5819999999999999,-0.11900000000000001,0.3670999999999999,3,1,5,8,0,7,56.13,5,5,4,6,-1.5419999999999998,25,4,2.0,125.0,175.37,183.03,280.65000000000003,500,13910.400000000001,8.0,876850.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
