,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,hs_gpa,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
8939,3.0,1.0,9.0,45.71,44.38,0.345,0.5920000000000001,,0.0,0.0,10.0,8.0,0.0,6.0,-1.0,62.42,6.0,2.0,0.0,3.0,1.564,23.0,4.0,1.0,14.0,152.51,177.52,374.52,28.0,7728.5599999999995,9.564,1525100.0,0.0
871,3.0,0.0,,56.82,48.69,,,0.733,,2.0,9.0,,,7.0,9.0,51.73,6.0,4.0,1.0,,0.789,33.0,5.0,1.0,14.0,157.23999999999998,194.76,310.38,56.0,7071.96,,4717199.999999999,1.0
4530,2.0,0.0,-1.0,60.9,54.85,0.111,-0.745,1.1909999999999998,0.0,2.0,17.0,4.0,0.0,7.0,10.0,62.6,6.0,4.0,0.0,4.0,-0.242,29.0,4.0,1.0,21.0,178.35,164.55,375.6,84.0,11343.150000000001,0.0,0.0,1.0
2675,3.0,,-1.0,47.79,39.2,0.5710000000000001,-1.202,-1.087,3.0,2.0,18.0,,0.0,3.0,15.0,49.67,6.0,4.0,4.0,4.0,-0.013999999999999999,26.0,5.0,2.0,23.0,136.66000000000003,156.8,298.02,92.0,10460.86,,0.0,0.0
11534,2.0,,10.0,61.38,63.6,,,,1.0,4.0,11.0,2.0,2.0,8.0,10.0,61.31,6.0,4.0,2.0,1.0,,,,1.0,,186.29000000000002,190.8,367.86,,,,5588700.000000001,0.0
8613,2.0,2.0,10.0,77.69,67.54,1.296,1.146,1.9509999999999998,2.0,6.0,,4.0,0.0,8.0,10.0,71.99,6.0,5.0,2.0,1.0,1.025,28.0,6.0,1.0,,217.22000000000003,202.62,431.93999999999994,,,10.05,0.0,1.0
7846,3.0,1.0,9.0,43.96,43.02,,,-0.149,0.0,0.0,12.0,3.0,0.0,6.0,9.0,42.52,5.0,3.0,4.0,4.0,0.8170000000000001,32.0,4.0,1.0,16.0,129.5,172.08,212.60000000000002,48.0,6154.880000000001,3.817,11655000.0,1.0
1156,3.0,1.0,10.0,53.45,66.44,,,0.539,0.0,1.0,5.0,3.0,2.0,6.0,14.0,55.8,5.0,3.0,6.0,3.0,-1.2690000000000001,27.0,4.0,1.0,9.0,175.69,265.76,279.0,27.0,4902.84,1.7309999999999999,0.0,0.0
1081,2.0,1.0,-1.0,64.65,61.63,-1.1159999999999999,-1.4480000000000002,0.544,1.0,0.0,30.0,1.0,0.0,8.0,10.0,65.62,6.0,1.0,4.0,2.0,-0.755,27.0,6.0,1.0,36.0,191.9,184.89000000000001,393.72,36.0,20829.96,0.245,95950.0,0.0
6497,2.0,0.0,-1.0,53.58,49.68,-0.11800000000000001,-0.046,1.001,1.0,0.0,2.0,1.0,0.0,6.0,9.0,54.64,6.0,2.0,4.0,1.0,0.265,28.0,6.0,1.0,8.0,157.89999999999998,149.04,327.84000000000003,16.0,3815.04,0.0,5526499.999999999,1.0
