,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
12380,3.0,,16.0,58.48,63.97,,,1.001,2.0,1.0,22.0,5.0,2.0,6.0,11.0,58.98,6.0,2.0,3.0,3.0,0.528,31.0,5.0,1.0,682.0,181.42999999999998,255.88,353.88,3410.0,32317.28,,9797219.999999998,1.0
6438,3.0,0.0,-1.0,48.28,45.49,-0.851,-0.214,,0.0,1.0,4.0,1.0,0.0,6.0,-1.0,45.8,5.0,2.0,1.0,3.0,-0.755,26.0,3.0,2.0,104.0,139.57,181.96,229.0,312.0,12328.800000000001,0.0,0.0,0.0
10471,2.0,2.0,9.0,52.87,56.95,,,1.9509999999999998,0.0,1.0,10.0,3.0,2.0,6.0,-1.0,52.87,,4.0,4.0,2.0,-0.504,27.0,5.0,1.0,270.0,162.69,170.85000000000002,,1350.0,,10.0,3253800.0,1.0
13949,3.0,0.0,9.0,43.68,49.43,,,1.001,0.0,2.0,3.0,1.0,0.0,8.0,-1.0,40.24,6.0,7.0,8.0,3.0,-0.755,28.0,5.0,1.0,84.0,133.35,197.72,241.44,420.0,13613.96,0.0,1466850.0,0.0
6487,2.0,1.0,14.0,67.23,52.88,1.7719999999999998,0.893,-1.463,1.0,2.0,2.0,2.0,0.0,6.0,9.0,56.43,6.0,3.0,6.0,1.0,-0.264,24.0,5.0,2.0,48.0,176.54000000000002,158.64000000000001,338.58,240.0,12927.720000000001,3.0,6002360.000000001,0.0
3247,0.0,2.0,-1.0,56.77,50.17,0.7809999999999999,-0.68,-0.7090000000000001,0.0,0.0,2.0,3.0,3.0,6.0,9.0,48.56,3.0,0.0,9.0,3.0,0.73,13.0,1.0,2.0,26.0,155.5,50.17,145.68,26.0,2937.7500000000005,12.0,3732000.0,0.0
5608,2.0,0.0,9.0,47.54,51.52,1.285,1.073,0.539,5.0,5.0,3.0,,0.0,7.0,-1.0,53.07,6.0,6.0,0.0,7.0,-0.755,31.0,5.0,1.0,93.0,152.13,154.56,318.42,465.0,16081.32,,1521300.0,0.0
6317,0.0,,15.0,47.49,48.81,0.332,-0.9329999999999999,-1.847,0.0,0.0,19.0,5.0,0.0,8.0,10.0,42.81,2.0,1.0,4.0,3.0,0.23800000000000002,24.0,4.0,3.0,456.0,139.11,48.81,85.62,1824.0,5780.490000000001,,1947540.0000000002,1.0
11891,3.0,0.0,9.0,54.19,50.66,,,,2.0,1.0,8.0,2.0,,7.0,9.0,51.44,5.0,6.0,3.0,3.0,1.27,30.0,5.0,2.0,240.0,156.29,202.64,257.2,1200.0,17473.92,0.0,0.0,1.0
6925,2.0,1.0,10.0,46.28,53.74,-0.879,-0.10300000000000001,1.001,1.0,0.0,11.0,3.0,4.0,7.0,,46.2,5.0,2.0,7.0,2.0,,23.0,5.0,1.0,253.0,146.22000000000003,161.22,231.0,1265.0,13335.480000000001,5.0,3947940.000000001,0.0
3661,,2.0,,36.6,30.95,,,-1.652,2.0,1.0,4.0,,,5.0,5.0,35.21,1.0,3.0,1.0,,-1.018,22.0,3.0,2.0,88.0,102.75999999999999,,35.21,264.0,,,2569000.0,0.0
8962,1.0,0.0,10.0,51.3,61.14,,,0.515,1.0,0.0,11.0,1.0,0.0,7.0,-1.0,55.24,6.0,3.0,4.0,,0.256,25.0,6.0,1.0,275.0,167.68,122.28,331.44,1650.0,16333.920000000002,,5533440.0,1.0
9471,1.0,2.0,-1.0,58.09,62.86,0.5710000000000001,-0.9329999999999999,,0.0,0.0,18.0,3.0,0.0,5.0,9.0,58.49,6.0,1.0,0.0,3.0,-0.51,17.0,3.0,2.0,306.0,179.44,125.72,350.94,918.0,16683.1,12.0,3229920.0,1.0
12420,3.0,1.0,-1.0,57.23,50.54,,,,0.0,1.0,5.0,5.0,0.0,7.0,-1.0,66.2,6.0,2.0,7.0,5.0,1.811,27.0,4.0,1.0,135.0,173.97,202.16,397.20000000000005,540.0,19179.52,10.0,1739700.0,1.0
6233,1.0,2.0,16.0,50.69,44.75,0.37,-0.37200000000000005,,0.0,1.0,5.0,2.0,0.0,7.0,9.0,47.8,5.0,4.0,4.0,4.0,1.008,23.0,6.0,1.0,115.0,143.24,89.5,239.0,690.0,9198.0,12.0,2793180.0,1.0
9332,,,,58.95,62.91,,,,,,,,,7.0,-1.0,63.7,6.0,2.0,0.0,2.0,,24.0,6.0,1.0,,185.56,,382.20000000000005,,,,7793520.0,1.0
13040,3.0,1.0,-1.0,65.83,71.24,0.095,0.331,1.7619999999999998,1.0,2.0,14.0,1.0,,7.0,-1.0,67.16,6.0,4.0,1.0,0.0,0.532,34.0,5.0,1.0,476.0,204.23,284.96,402.96,2380.0,33020.159999999996,1.0,2859220.0,0.0
9032,,,,53.62,54.85,,,,,,,,,7.0,-1.0,53.99,6.0,3.0,3.0,1.0,,23.0,4.0,1.0,,162.46,,323.94,,,,8123000.0,1.0
