,literacy_home,risk_factors,aspired_occ_b,math_b,reading_b,math_conf_b,verbal_confidence,writing,sports,by_xcurr,homework,hedonics_b,hours_working_b,edu_confidence,aspired_occ_1,math_1,math_status_1,f1_xcurr,hours_working_1,hedonics_1,math_conf_1,hs_ac_load,hs_gpa,ps_level,effort,testing,v_facility,m_facility,academic_p,iq_by_concientiousness,delinquency,wages_cont,graduated_Y
8923,,,9.0,48.42,50.79,,-0.491,,0.0,1.0,27.0,1.0,0.0,7.0,9.0,69.67,6.0,2.0,1.0,2.0,0.515,25.0,5.0,1.0,675.0,168.88,,418.02,3375.0,,,2026560.0,0.0
1133,0.0,,,51.59,51.52,,,0.812,,2.0,8.0,,,6.0,,58.83,5.0,2.0,4.0,4.0,-0.47700000000000004,29.0,5.0,1.0,232.0,161.94,51.52,294.15,1160.0,12789.789999999999,,2105220.0,0.0
1699,3.0,,9.0,52.24,54.61,-1.08,-0.11800000000000001,-0.24600000000000002,2.0,1.0,18.0,2.0,3.0,7.0,10.0,49.36,6.0,3.0,3.0,2.0,-0.7879999999999999,25.0,5.0,1.0,450.0,156.20999999999998,218.44,296.15999999999997,2250.0,22127.799999999996,,7029449.999999999,1.0
1549,3.0,1.0,10.0,50.52,38.59,-0.63,-0.9329999999999999,,1.0,0.0,6.0,3.0,4.0,6.0,10.0,46.45,6.0,0.0,5.0,2.0,-0.755,26.0,4.0,1.0,156.0,135.56,154.36,278.70000000000005,624.0,13857.920000000002,5.0,3931240.0,0.0
14829,,0.0,9.0,54.33,59.16,,,1.9509999999999998,,2.0,10.0,0.0,,7.0,9.0,49.31,6.0,7.0,1.0,1.0,-1.296,31.0,6.0,1.0,310.0,162.8,,295.86,1860.0,,0.0,651200.0,0.0
14096,3.0,,10.0,49.48,45.86,-0.867,0.331,0.052000000000000005,1.0,0.0,,1.0,6.0,4.0,15.0,52.07,5.0,0.0,5.0,1.0,-0.013000000000000001,28.0,4.0,1.0,,147.41,183.44,260.35,,,,737050.0,0.0
7784,1.0,1.0,9.0,50.01,61.51,-0.63,0.331,0.515,1.0,1.0,15.0,1.0,0.0,8.0,9.0,48.64,2.0,4.0,5.0,2.0,-0.242,,,1.0,,160.16,123.02,97.28,,,3.0,4804800.0,0.0
13126,,1.0,-1.0,69.04,76.17,1.7719999999999998,0.331,0.052000000000000005,0.0,3.0,13.0,,2.0,7.0,10.0,69.57,6.0,4.0,3.0,3.0,0.779,28.0,5.0,1.0,364.0,214.78,,417.41999999999996,1820.0,,,966510.0,0.0
258,3.0,0.0,-1.0,59.07,59.66,0.5710000000000001,0.331,1.1909999999999998,1.0,2.0,14.0,3.0,0.0,7.0,9.0,65.22,6.0,3.0,0.0,1.0,0.516,30.0,6.0,1.0,420.0,183.95,238.64,391.32,2520.0,27718.24,0.0,3679000.0,1.0
15862,2.0,1.0,7.0,63.43,68.04,-0.63,0.5920000000000001,0.515,0.0,1.0,20.0,3.0,0.0,6.0,10.0,62.38,6.0,1.0,1.0,3.0,,,,1.0,,193.85,204.12,374.28000000000003,,,6.0,7754000.0,1.0
13368,2.0,0.0,9.0,45.56,55.59,0.332,-0.9329999999999999,0.247,0.0,0.0,25.0,3.0,4.0,7.0,9.0,44.58,5.0,3.0,5.0,3.0,0.28300000000000003,24.0,5.0,1.0,600.0,145.73000000000002,166.77,222.89999999999998,3000.0,19093.829999999998,0.0,5246280.000000001,1.0
5809,2.0,0.0,-1.0,53.58,53.0,0.5710000000000001,0.331,0.131,2.0,0.0,6.0,5.0,0.0,6.0,15.0,54.13,6.0,1.0,2.0,5.0,-0.264,30.0,6.0,2.0,180.0,160.71,159.0,324.78000000000003,1080.0,17416.08,0.0,5946270.0,1.0
5044,3.0,1.0,9.0,49.26,51.52,-1.1059999999999999,-0.852,-0.898,1.0,4.0,9.0,3.0,0.0,6.0,14.0,49.25,5.0,3.0,0.0,7.0,-0.264,29.0,5.0,1.0,261.0,150.03,206.08,246.25,1305.0,17188.54,10.0,0.0,0.0
13942,1.0,2.0,9.0,52.93,51.03,0.544,0.331,,2.0,1.0,9.0,8.0,0.0,6.0,-1.0,53.37,6.0,2.0,1.0,4.0,-0.013000000000000001,31.0,6.0,1.0,279.0,157.33,102.06,320.21999999999997,1674.0,16891.199999999997,24.0,6607860.000000001,0.0
1498,2.0,3.0,10.0,36.11,34.64,,,-1.652,,,4.0,,5.0,7.0,9.0,35.23,5.0,3.0,0.0,,,17.0,2.0,2.0,68.0,105.97999999999999,103.92,176.14999999999998,136.0,5881.47,,1801659.9999999998,0.0
1216,2.0,0.0,6.0,60.73,62.0,,,,0.0,1.0,4.0,1.0,2.0,7.0,-1.0,58.14,6.0,1.0,2.0,1.0,,19.0,6.0,1.0,76.0,180.87,186.0,348.84000000000003,456.0,12301.320000000002,0.0,6511320.0,1.0
15096,2.0,2.0,9.0,56.98,52.14,1.7719999999999998,1.5959999999999999,1.567,,3.0,5.0,1.0,0.0,6.0,14.0,63.44,6.0,2.0,1.0,2.0,1.319,30.0,6.0,1.0,150.0,172.56,156.42000000000002,380.64,900.0,18797.1,6.0,5867040.0,1.0
3298,3.0,0.0,,59.1,63.35,,,1.9509999999999998,,3.0,5.0,,,6.0,9.0,54.64,6.0,2.0,4.0,3.0,,26.0,6.0,1.0,130.0,177.09,253.4,327.84000000000003,780.0,18018.44,,3541800.0,1.0
14327,,,,58.58,55.28,,,,,,,,,7.0,-1.0,59.09,6.0,2.0,2.0,2.0,,25.0,6.0,1.0,,172.95,,354.54,,,,6053250.0,1.0
14189,2.0,1.0,-1.0,46.19,57.81,0.836,0.331,0.247,1.0,0.0,1.0,2.0,0.0,6.0,-1.0,47.01,5.0,1.0,0.0,3.0,-1.51,26.0,4.0,2.0,26.0,151.01,173.43,235.04999999999998,104.0,11028.960000000001,5.0,2567170.0,0.0
9705,3.0,,-1.0,43.04,52.51,-0.63,0.508,1.001,1.0,0.0,22.0,,0.0,6.0,17.0,43.93,5.0,0.0,8.0,4.0,,24.0,2.0,3.0,528.0,139.48,210.04,219.65,1056.0,19765.74,,4323880.0,0.0
10191,2.0,0.0,10.0,54.97,67.54,-0.867,0.039,,0.0,2.0,20.0,,0.0,7.0,9.0,58.9,5.0,3.0,0.0,5.0,,23.0,6.0,1.0,460.0,181.41,202.62,294.5,2760.0,21376.16,,5260890.0,1.0
12048,1.0,,10.0,56.94,53.0,1.5330000000000001,0.11199999999999999,,1.0,4.0,6.0,5.0,0.0,7.0,,56.56,6.0,5.0,2.0,4.0,1.5330000000000001,28.0,6.0,1.0,168.0,166.5,106.0,339.36,1008.0,15142.24,,16650.0,0.0
2944,2.0,0.0,-1.0,54.15,55.84,-0.63,0.14300000000000002,,0.0,0.0,24.0,2.0,0.0,6.0,-1.0,54.31,6.0,1.0,0.0,3.0,0.528,25.0,4.0,1.0,600.0,164.3,167.52,325.86,2400.0,24175.62,0.0,2957400.0,1.0
6175,2.0,0.0,-1.0,52.66,61.88,1.7719999999999998,0.885,1.464,3.0,2.0,24.0,8.0,0.0,6.0,-1.0,54.17,6.0,5.0,0.0,2.0,1.811,30.0,6.0,1.0,720.0,168.70999999999998,185.64000000000001,325.02,4320.0,27575.64,0.0,7929369.999999999,1.0
4961,3.0,0.0,9.0,54.48,54.97,,,-0.703,1.0,0.0,15.0,2.0,0.0,7.0,9.0,54.24,6.0,2.0,0.0,1.0,-0.757,25.0,5.0,1.0,375.0,163.69,219.88,325.44,1875.0,21812.799999999996,0.0,4910700.0,1.0
15384,3.0,,6.0,62.97,41.3,0.066,-0.418,0.052000000000000005,1.0,2.0,6.0,2.0,4.0,7.0,10.0,61.82,6.0,1.0,1.0,2.0,,12.0,6.0,1.0,72.0,166.09,165.2,370.92,432.0,9650.16,,6643600.0,1.0
280,3.0,0.0,,49.97,51.03,,,1.9509999999999998,,1.0,13.0,,,7.0,9.0,64.71,6.0,5.0,0.0,0.0,0.73,27.0,6.0,1.0,351.0,165.70999999999998,204.12,388.26,2106.0,23695.2,,7954079.999999999,1.0
1745,2.0,3.0,12.0,47.76,58.06,0.5710000000000001,-1.383,-0.21600000000000003,1.0,0.0,1.0,2.0,,8.0,12.0,49.89,5.0,2.0,5.0,7.0,,24.0,2.0,2.0,24.0,155.70999999999998,174.18,249.45,48.0,10590.75,27.0,5138429.999999999,0.0
7123,2.0,1.0,15.0,50.11,55.47,,,1.756,0.0,0.0,6.0,4.0,4.0,7.0,9.0,49.04,6.0,3.0,2.0,3.0,-0.504,31.0,6.0,1.0,186.0,154.62,166.41,294.24,1116.0,17044.05,7.0,4329360.0,1.0
8759,3.0,,-1.0,48.15,54.24,-0.632,0.44299999999999995,0.052000000000000005,0.0,0.0,27.0,4.0,0.0,6.0,-1.0,49.51,5.0,0.0,3.0,1.0,,23.0,4.0,2.0,621.0,151.9,216.96,247.54999999999998,2484.0,23225.5,,6835500.0,0.0
9786,3.0,2.0,-1.0,48.98,45.73,-0.857,0.182,0.052000000000000005,0.0,0.0,4.0,6.0,0.0,6.0,16.0,48.44,5.0,2.0,4.0,,,26.0,5.0,1.0,104.0,143.14999999999998,182.92,242.2,520.0,12753.6,,2147249.9999999995,1.0
7504,1.0,3.0,10.0,46.18,48.81,-1.329,-0.672,,0.0,0.0,31.0,1.0,5.0,8.0,9.0,40.19,3.0,2.0,1.0,1.0,-0.215,26.0,4.0,2.0,806.0,135.18,97.62,120.57,3224.0,12436.83,6.0,0.0,0.0
7511,3.0,1.0,-1.0,53.01,64.96,0.095,-0.23,-0.898,0.0,1.0,4.0,0.0,0.0,7.0,-1.0,48.01,5.0,1.0,5.0,3.0,0.528,26.0,3.0,1.0,104.0,165.98,259.84,240.04999999999998,312.0,14996.699999999999,3.0,746910.0,1.0
3405,2.0,,9.0,60.43,56.33,0.5710000000000001,0.331,1.001,3.0,0.0,,8.0,3.0,6.0,-1.0,59.55,6.0,2.0,4.0,1.0,-0.51,32.0,6.0,1.0,,176.31,168.99,357.29999999999995,,,,7933950.0,1.0
12165,3.0,0.0,9.0,59.31,64.34,-0.62,1.5959999999999999,0.618,1.0,0.0,9.0,8.0,0.0,7.0,9.0,62.95,6.0,1.0,0.0,3.0,-1.5419999999999998,30.0,5.0,1.0,270.0,186.60000000000002,257.36,377.70000000000005,1350.0,24767.340000000004,0.0,9330000.000000002,1.0
10829,3.0,0.0,,49.93,54.73,,,,,3.0,14.0,,,6.0,-1.0,65.25,6.0,2.0,0.0,3.0,-1.547,,,1.0,,169.91,218.92,391.5,,,,2208830.0,1.0
4622,1.0,3.0,9.0,53.0,45.49,,,0.24100000000000002,,,7.0,8.0,0.0,6.0,9.0,46.26,6.0,1.0,8.0,5.0,,,,1.0,,144.75,90.98,277.56,,,39.0,2750250.0,0.0
549,,,,45.39,42.53,,,,,,,,,6.0,-1.0,43.62,6.0,2.0,6.0,3.0,,25.0,5.0,1.0,,131.54,,261.71999999999997,,,,4077739.9999999995,1.0
2434,3.0,0.0,9.0,60.81,57.56,1.5330000000000001,0.623,1.1909999999999998,3.0,0.0,15.0,8.0,0.0,6.0,9.0,60.93,6.0,3.0,4.0,7.0,1.564,27.0,6.0,1.0,405.0,179.3,230.24,365.58,2430.0,25024.44,0.0,14344000.0,1.0
10611,1.0,,10.0,55.01,43.27,-0.63,-0.9329999999999999,1.9509999999999998,0.0,2.0,5.0,0.0,6.0,7.0,14.0,54.19,6.0,1.0,0.0,3.0,0.25,24.0,5.0,2.0,120.0,152.47,86.54,325.14,600.0,11938.72,,3049400.0,1.0
4561,3.0,1.0,3.0,58.07,56.58,0.5710000000000001,0.331,1.9509999999999998,0.0,1.0,3.0,2.0,0.0,4.0,3.0,53.81,6.0,1.0,7.0,3.0,-0.258,29.0,5.0,2.0,87.0,168.46,226.32,322.86,435.0,17573.760000000002,5.0,2695360.0,0.0
4996,2.0,1.0,-1.0,68.18,62.49,,,1.001,0.0,4.0,14.0,1.0,,7.0,9.0,63.6,6.0,4.0,0.0,1.0,1.3019999999999998,26.0,6.0,1.0,364.0,194.27,187.47,381.6,2184.0,22762.800000000003,2.0,3496860.0,1.0
2621,2.0,,14.0,50.11,46.72,0.625,0.965,0.812,0.0,1.0,3.0,2.0,0.0,7.0,-1.0,53.01,6.0,2.0,7.0,1.0,-1.018,,,1.0,,149.84,140.16,318.06,,,,8990400.0,1.0
5352,0.0,1.0,-1.0,45.72,41.3,-0.63,0.151,0.247,0.0,0.0,3.0,,0.0,4.0,12.0,44.4,4.0,0.0,0.0,2.0,-0.755,26.0,2.0,2.0,78.0,131.42,41.3,177.6,156.0,6348.099999999999,,2365560.0,0.0
10893,,,-1.0,55.81,51.65,,,1.756,0.0,0.0,5.0,2.0,0.0,7.0,,60.34,6.0,0.0,3.0,1.0,-0.21600000000000003,,,2.0,,167.8,,362.04,,,,3356000.0,0.0
2843,2.0,,6.0,48.24,59.29,-0.604,0.151,0.544,3.0,1.0,,6.0,0.0,7.0,10.0,45.86,5.0,3.0,4.0,2.0,-0.7879999999999999,23.0,5.0,2.0,,153.39,177.87,229.3,,,,1687289.9999999998,0.0
9764,3.0,1.0,10.0,51.68,45.86,-0.619,-0.41,0.052000000000000005,1.0,2.0,2.0,3.0,0.0,6.0,-1.0,46.11,5.0,6.0,0.0,3.0,-0.52,28.0,5.0,1.0,56.0,143.64999999999998,183.44,230.55,280.0,12419.7,6.0,3016649.9999999995,1.0
15745,,,9.0,53.49,41.17,,,0.052000000000000005,,2.0,19.0,3.0,,7.0,9.0,53.81,5.0,4.0,4.0,2.0,0.27699999999999997,21.0,4.0,2.0,399.0,148.47,,269.05,1596.0,,,8165850.0,1.0
12918,,1.0,-1.0,46.71,48.44,-1.1159999999999999,-0.9329999999999999,-0.24600000000000002,1.0,1.0,8.0,3.0,0.0,7.0,9.0,48.87,5.0,2.0,7.0,2.0,,34.0,3.0,2.0,272.0,144.02,,244.35,816.0,,5.0,5760800.0,1.0
9118,3.0,0.0,-1.0,50.78,59.16,-0.11599999999999999,-0.111,,0.0,0.0,11.0,2.0,1.0,4.0,-1.0,52.23,5.0,0.0,8.0,5.0,1.0190000000000001,25.0,5.0,2.0,275.0,162.17,236.64,261.15,1375.0,17920.44,0.0,6162459.999999999,0.0
14268,3.0,,9.0,49.33,50.54,0.5710000000000001,0.331,-1.195,0.0,2.0,7.0,1.0,0.0,6.0,13.0,48.69,6.0,1.0,2.0,2.0,-1.252,,,1.0,,148.56,202.16,292.14,,,,5942400.0,1.0
2148,3.0,0.0,10.0,69.49,64.22,1.7719999999999998,1.5959999999999999,0.71,1.0,1.0,,,0.0,8.0,10.0,67.55,6.0,2.0,0.0,,,,,1.0,,201.26,256.88,405.29999999999995,,,,60378.0,1.0
15782,2.0,0.0,9.0,61.09,62.49,1.7719999999999998,1.5959999999999999,-0.514,6.0,1.0,4.0,2.0,0.0,7.0,-1.0,55.03,6.0,4.0,0.0,4.0,1.27,26.0,4.0,1.0,104.0,178.61,187.47,330.18,416.0,15529.5,0.0,6251350.000000001,1.0
1659,0.0,0.0,6.0,40.76,39.08,-0.392,-0.111,,1.0,1.0,5.0,5.0,4.0,7.0,9.0,39.61,,0.0,7.0,,0.035,25.0,3.0,2.0,125.0,119.45,39.08,,375.0,,,3344600.0,0.0
12680,3.0,1.0,9.0,58.27,51.77,1.03,-0.9329999999999999,0.052000000000000005,4.0,3.0,6.0,6.0,1.0,6.0,9.0,62.91,6.0,3.0,1.0,8.0,-0.264,34.0,6.0,1.0,204.0,172.95,207.08,377.46,1224.0,23381.6,14.0,5188500.0,1.0
1224,3.0,0.0,-1.0,51.4,62.98,-1.621,0.331,1.9509999999999998,0.0,1.0,2.0,3.0,0.0,8.0,10.0,52.05,4.0,3.0,4.0,2.0,,25.0,5.0,1.0,50.0,166.43,251.92,208.2,250.0,12423.24,0.0,3661460.0,1.0
8667,,0.0,-1.0,40.21,37.72,,,-0.7090000000000001,0.0,0.0,7.0,4.0,0.0,6.0,14.0,41.98,5.0,0.0,0.0,3.0,0.003,23.0,4.0,2.0,161.0,119.91,,209.89999999999998,644.0,,0.0,1139145.0,0.0
8234,,,-1.0,43.91,46.84,-1.08,-1.122,,1.0,,28.0,,0.0,9.0,-1.0,46.01,6.0,3.0,2.0,4.0,-0.264,23.0,4.0,2.0,644.0,136.76,,276.06,2576.0,,,341900.0,1.0
16153,3.0,0.0,10.0,54.57,53.0,-0.381,-0.902,-0.441,2.0,2.0,8.0,3.0,0.0,6.0,9.0,48.6,5.0,2.0,1.0,1.0,-0.509,24.0,5.0,1.0,192.0,156.17,212.0,243.0,960.0,14560.0,0.0,2342550.0,0.0
5462,3.0,2.0,10.0,40.69,50.91,,,0.052000000000000005,4.0,1.0,7.0,5.0,0.0,8.0,14.0,38.99,5.0,1.0,7.0,3.0,0.528,23.0,2.0,2.0,161.0,130.59,203.64,194.95000000000002,322.0,11957.7,16.0,2481210.0,0.0
11196,0.0,1.0,-1.0,49.58,45.24,-0.8690000000000001,-0.9329999999999999,-0.7090000000000001,2.0,0.0,4.0,6.0,0.0,9.0,16.0,44.94,2.0,3.0,3.0,6.0,-0.7879999999999999,26.0,4.0,2.0,104.0,139.76,45.24,89.88,416.0,4053.6000000000004,12.0,1956639.9999999998,0.0
137,2.0,,-1.0,43.88,48.57,-0.381,-0.183,,0.0,1.0,4.0,2.0,0.0,7.0,10.0,44.34,6.0,2.0,0.0,3.0,0.281,23.0,6.0,1.0,92.0,136.79000000000002,145.71,266.04,552.0,11117.25,,3693330.0000000005,1.0
9998,,,,47.57,52.72,,,,,,,,,3.0,15.0,48.56,4.0,0.0,7.0,2.0,,17.0,2.0,2.0,,148.85,,194.24,,,,595400.0,1.0
5783,3.0,0.0,-1.0,55.3,52.88,1.7719999999999998,1.5959999999999999,1.001,3.0,1.0,,0.0,0.0,7.0,-1.0,55.84,6.0,2.0,2.0,2.0,1.27,23.0,4.0,1.0,,164.02,211.52,335.04,,,0.0,8201000.000000001,1.0
5146,,0.0,10.0,60.69,59.53,,,-0.435,0.0,1.0,2.0,1.0,0.0,6.0,-1.0,55.64,6.0,2.0,4.0,2.0,-0.755,24.0,4.0,1.0,48.0,175.86,,333.84000000000003,192.0,,0.0,4396500.0,1.0
9626,1.0,5.0,2.0,55.26,39.94,,,-0.6970000000000001,0.0,0.0,3.0,3.0,,4.0,9.0,60.36,5.0,2.0,6.0,2.0,1.811,23.0,3.0,2.0,69.0,155.56,79.88,301.8,207.0,9923.68,25.0,3889000.0,0.0
13578,3.0,0.0,-1.0,65.73,62.74,1.7719999999999998,1.5959999999999999,1.001,2.0,1.0,11.0,6.0,0.0,7.0,-1.0,68.28,6.0,6.0,3.0,1.0,1.025,26.0,6.0,1.0,286.0,196.75,250.96,409.68,1716.0,24443.68,0.0,12788750.0,1.0
15341,,0.0,-1.0,67.38,73.34,,,1.9509999999999998,,,,,1.0,8.0,-1.0,73.78,6.0,3.0,0.0,1.0,-1.002,24.0,6.0,1.0,,214.5,,442.68,,,,7078500.0,0.0
15650,3.0,0.0,10.0,62.37,72.72,1.7719999999999998,1.304,1.9509999999999998,0.0,2.0,22.0,1.0,0.0,8.0,-1.0,64.4,5.0,4.0,1.0,2.0,1.5659999999999998,30.0,6.0,1.0,660.0,199.49,290.88,322.0,3960.0,31869.76,0.0,10373480.0,1.0
12825,,,,40.79,35.87,,,,0.0,1.0,15.0,5.0,,8.0,-1.0,42.32,5.0,2.0,5.0,6.0,-0.755,27.0,3.0,1.0,405.0,118.97999999999999,,211.6,1215.0,,,7138799.999999999,1.0
8671,1.0,2.0,10.0,40.62,38.22,0.121,-2.197,-1.847,0.0,0.0,4.0,8.0,0.0,6.0,10.0,44.06,5.0,0.0,3.0,2.0,0.25,23.0,2.0,2.0,92.0,122.9,76.44,220.3,184.0,8011.9800000000005,20.0,2826700.0,0.0
15875,3.0,1.0,9.0,52.21,45.36,-1.1059999999999999,-1.137,,0.0,0.0,7.0,8.0,0.0,4.0,12.0,48.2,6.0,2.0,3.0,5.0,,,,2.0,,145.76999999999998,181.44,289.20000000000005,,,13.0,8746199.999999998,1.0
11168,,,,56.77,55.12,,,,,,,,,6.0,-1.0,54.15,5.0,0.0,3.0,1.0,,28.0,2.0,2.0,,166.04,,270.75,,,,0.0,0.0
8744,2.0,,14.0,58.41,56.82,-0.154,-0.37200000000000005,-0.24600000000000002,0.0,0.0,14.0,2.0,1.0,6.0,14.0,60.01,5.0,1.0,4.0,3.0,0.019,25.0,5.0,1.0,350.0,175.23999999999998,170.46,300.05,1750.0,18349.89,,6133399.999999999,1.0
5620,,,,43.57,46.32,,,,,,,,,6.0,10.0,40.92,5.0,0.0,0.0,2.0,,28.0,3.0,2.0,,130.81,,204.60000000000002,,,,39243.0,1.0
1588,1.0,2.0,10.0,48.33,57.69,0.636,0.585,-0.898,1.0,2.0,2.0,,0.0,6.0,10.0,38.78,3.0,4.0,6.0,4.0,0.501,23.0,3.0,2.0,46.0,144.8,115.38,116.34,138.0,5793.0,,1737600.0000000002,1.0
16165,3.0,2.0,10.0,60.1,61.14,0.5710000000000001,0.331,-0.24600000000000002,2.0,1.0,15.0,5.0,2.0,7.0,11.0,56.2,5.0,1.0,1.0,5.0,,26.0,4.0,1.0,390.0,177.44,244.56,281.0,1560.0,21547.96,20.0,0.0,0.0
14928,2.0,1.0,-1.0,57.79,56.82,0.149,0.331,,1.0,1.0,25.0,5.0,0.0,7.0,10.0,58.09,6.0,4.0,0.0,2.0,-0.7509999999999999,25.0,6.0,1.0,625.0,172.7,170.46,348.54,3750.0,25950.0,7.0,3454000.0,1.0
4467,2.0,0.0,10.0,54.9,59.9,0.5710000000000001,1.5959999999999999,1.001,0.0,1.0,10.0,1.0,0.0,7.0,-1.0,53.77,6.0,3.0,4.0,1.0,0.001,,,2.0,,168.57,179.7,322.62,,,0.0,0.0,0.0
9295,,0.0,10.0,60.67,59.66,-0.381,0.601,1.9509999999999998,0.0,2.0,,0.0,0.0,7.0,13.0,65.97,6.0,2.0,1.0,3.0,0.532,24.0,6.0,1.0,,186.3,,395.82,,,0.0,8942400.0,0.0
583,,,,58.34,58.27,,,,,,,,,6.0,,59.33,6.0,3.0,3.0,2.0,,25.0,5.0,1.0,,175.94,,355.98,,,,9676700.0,0.0
1111,2.0,1.0,10.0,40.83,49.68,-1.1059999999999999,1.5959999999999999,-0.898,0.0,0.0,3.0,6.0,1.0,8.0,10.0,41.73,5.0,3.0,0.0,3.0,,26.0,3.0,1.0,78.0,132.23999999999998,149.04,208.64999999999998,234.0,10373.009999999998,9.0,1454639.9999999998,0.0
13048,3.0,1.0,-1.0,61.8,72.84,1.7719999999999998,1.138,1.001,1.0,2.0,3.0,1.0,1.0,6.0,-1.0,65.65,6.0,4.0,1.0,0.0,1.5659999999999998,30.0,6.0,1.0,90.0,200.29,291.36,393.90000000000003,540.0,22613.579999999998,1.0,0.0,0.0
5256,2.0,2.0,-1.0,65.47,61.01,1.296,0.135,1.7619999999999998,1.0,0.0,21.0,,0.0,8.0,10.0,66.62,6.0,4.0,5.0,4.0,-0.008,23.0,6.0,1.0,483.0,193.1,183.03,399.72,2898.0,25641.0,,20275500.0,1.0
9334,3.0,,9.0,55.74,59.66,0.121,1.5959999999999999,1.1909999999999998,1.0,0.0,20.0,0.0,0.0,7.0,-1.0,52.57,6.0,2.0,5.0,0.0,-0.259,27.0,5.0,1.0,540.0,167.97,238.64,315.42,2700.0,26040.819999999996,,4199250.0,1.0
14122,3.0,0.0,10.0,52.9,58.67,0.38799999999999996,1.335,0.24100000000000002,2.0,0.0,11.0,,0.0,7.0,-1.0,54.91,5.0,1.0,0.0,4.0,,26.0,5.0,1.0,286.0,166.48,234.68,274.54999999999995,1430.0,18841.51,,8656960.0,1.0
10516,,,,51.2,54.04,,,,,,,,,7.0,15.0,52.93,6.0,4.0,5.0,3.0,,26.0,5.0,1.0,,158.17000000000002,,317.58,,,,7117650.000000001,1.0
8666,2.0,0.0,10.0,59.6,55.71,0.387,0.601,1.9509999999999998,1.0,2.0,7.0,3.0,0.0,8.0,10.0,70.7,6.0,4.0,1.0,1.0,0.495,27.0,6.0,1.0,189.0,186.01,167.13,424.20000000000005,1134.0,20105.22,0.0,0.0,0.0
15777,3.0,,9.0,52.36,53.5,-0.42,1.1540000000000001,-0.021,3.0,0.0,22.0,0.0,2.0,6.0,12.0,51.82,6.0,1.0,0.0,1.0,-1.051,28.0,3.0,2.0,616.0,157.68,214.0,310.92,1848.0,26246.000000000004,,4572720.0,0.0
8463,0.0,,-1.0,41.21,43.39,-0.8690000000000001,-0.253,,0.0,0.0,4.0,3.0,1.0,6.0,9.0,43.56,6.0,0.0,0.0,,-0.755,29.0,5.0,2.0,116.0,128.16,43.39,261.36,580.0,10056.75,,2050560.0,1.0
13976,3.0,1.0,10.0,50.78,51.28,-0.14400000000000002,-0.387,0.807,2.0,4.0,2.0,1.0,0.0,8.0,10.0,49.61,6.0,3.0,4.0,5.0,0.281,24.0,5.0,1.0,48.0,151.67000000000002,205.12,297.65999999999997,240.0,13072.279999999999,6.0,5611790.000000001,1.0
5860,3.0,0.0,-1.0,53.06,46.1,-1.145,0.331,0.052000000000000005,0.0,1.0,3.0,1.0,0.0,7.0,10.0,49.77,6.0,1.0,0.0,3.0,-1.7919999999999998,23.0,4.0,2.0,69.0,148.93,184.4,298.62,276.0,12558.52,0.0,1340370.0,1.0
6638,,2.0,,43.41,40.31,,,1.464,0.0,6.0,,6.0,4.0,8.0,-1.0,40.5,6.0,6.0,0.0,3.0,0.005,28.0,4.0,2.0,,124.22,,243.0,,,18.0,1987520.0,0.0
15198,3.0,,-1.0,31.22,33.9,-0.841,1.219,,0.0,0.0,3.0,6.0,0.0,9.0,-1.0,29.83,2.0,4.0,0.0,,-0.258,16.0,4.0,1.0,48.0,94.95,135.6,59.66,192.0,3709.9399999999996,,94950.0,0.0
5335,3.0,0.0,10.0,59.8,51.15,-0.365,-0.111,-0.6,0.0,1.0,5.0,2.0,0.0,8.0,10.0,57.02,6.0,1.0,4.0,3.0,-0.495,26.0,4.0,2.0,130.0,167.97,204.6,342.12,520.0,16948.32,0.0,10078200.0,1.0
10091,2.0,0.0,9.0,52.81,42.65,1.7719999999999998,0.696,-0.7090000000000001,2.0,0.0,11.0,2.0,4.0,4.0,9.0,48.36,6.0,3.0,3.0,5.0,1.811,24.0,5.0,2.0,264.0,143.82,127.94999999999999,290.15999999999997,1320.0,14633.849999999999,0.0,5752800.0,1.0
13152,1.0,0.0,10.0,54.95,51.15,0.5710000000000001,0.331,-0.405,2.0,1.0,27.0,2.0,,8.0,,57.3,6.0,2.0,0.0,0.0,1.811,24.0,4.0,1.0,648.0,163.39999999999998,102.3,343.79999999999995,2592.0,22751.1,0.0,139706.99999999997,0.0
6090,3.0,1.0,-1.0,34.87,47.46,0.5710000000000001,0.331,,0.0,2.0,11.0,3.0,0.0,6.0,,39.95,4.0,1.0,4.0,2.0,0.528,25.0,1.0,2.0,275.0,122.28,189.84,159.8,275.0,12587.039999999999,5.0,2934720.0,0.0
15378,3.0,,-1.0,62.5,57.07,-0.128,-0.745,0.807,4.0,1.0,18.0,0.0,0.0,7.0,-1.0,64.29,6.0,3.0,1.0,2.0,-0.755,19.0,5.0,1.0,342.0,183.86,228.28,385.74,1710.0,22718.739999999998,,3677200.0000000005,1.0
14281,3.0,0.0,-1.0,58.47,62.86,0.12300000000000001,1.115,-0.16699999999999998,0.0,3.0,14.0,1.0,1.0,6.0,6.0,58.76,6.0,3.0,1.0,3.0,,26.0,4.0,1.0,364.0,180.09,251.44,352.56,1456.0,24160.0,0.0,6483240.0,0.0
